 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
         18427 ┊    19.48% ┊ "function names" subsection
         16368 ┊    17.31% ┊ custom section '.debug_str'
          6323 ┊     6.69% ┊ custom section '.debug_info'
          5701 ┊     6.03% ┊ custom section '.debug_line'
          4285 ┊     4.53% ┊ custom section '.debug_pubnames'
          1896 ┊     2.00% ┊ custom section '.debug_ranges'
          1107 ┊     1.17% ┊ echo_varags_tuples
           985 ┊     1.04% ┊ data[0]
           936 ┊     0.99% ┊ core::fmt::Formatter::pad::h671c63eb2e61967c
           846 ┊     0.89% ┊ core::fmt::write::h8b996d8af01475c9
           593 ┊     0.63% ┊ <core::fmt::builders::PadAdapter as core::fmt::Write>::write_str::h636f7a801c3cd6dc
           592 ┊     0.63% ┊ <basic_features::ser_ex1::SerExample1 as elrond_codec::nested_de::NestedDecode>::dep_decode_to::hdabe5ad6df7eefe0
           566 ┊     0.60% ┊ echo_multi_h256
           565 ┊     0.60% ┊ echo_varags_big_uint
           563 ┊     0.60% ┊ echo_multi_1
           562 ┊     0.59% ┊ echo_multi_vec_u8
           561 ┊     0.59% ┊ custom section '.debug_abbrev'
           560 ┊     0.59% ┊ logEventB
           549 ┊     0.58% ┊ echo_boxed_ser_example_1
           516 ┊     0.55% ┊ <basic_features::ser_ex2::SerExample2 as elrond_codec::nested_de::NestedDecode>::dep_decode_to::hb23dd30febf42859
           506 ┊     0.54% ┊ <core::alloc::layout::LayoutErr as core::fmt::Debug>::fmt::hf7b8b78c6d3f3ec0
           483 ┊     0.51% ┊ load_ser_1
           480 ┊     0.51% ┊ wee_alloc::alloc_first_fit::h3a2a2c5b4ceb0973
           460 ┊     0.49% ┊ echo_array_u8
           456 ┊     0.48% ┊ non_zero_usize_iter
           443 ┊     0.47% ┊ echo_boxed_ser_example_2
           436 ┊     0.46% ┊ elrond_wasm::io::macro_helpers::load_single_arg::h5ac1532b2b55fca3
           434 ┊     0.46% ┊ <elrond_wasm::types::var_args::VarArgs<T> as elrond_wasm::io::dyn_arg::DynArg<I,D>>::dyn_load::he976d06d2ad9dd32
           423 ┊     0.45% ┊ only_owner
           381 ┊     0.40% ┊ core::str::slice_error_fail::hbfdd88935fdca5ea
           378 ┊     0.40% ┊ echo_opt_bool
           369 ┊     0.39% ┊ logEventA
           368 ┊     0.39% ┊ custom section '.debug_aranges'
           356 ┊     0.38% ┊ core::slice::memchr::memchr::hc741e82cd00061e5
           354 ┊     0.37% ┊ echo_async_result_empty
           290 ┊     0.31% ┊ alloc::raw_vec::finish_grow::h30f35d83bf52a45c
           287 ┊     0.30% ┊ <&mut W as core::fmt::Write>::write_char::hccb20972d94c806a
           286 ┊     0.30% ┊ echo_simple_enum
           284 ┊     0.30% ┊ load_opt_addr
           280 ┊     0.30% ┊ core::fmt::Write::write_char::hc49b0a0ce112405e
           267 ┊     0.28% ┊ store_ser_1
