 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
         19929 ┊    21.81% ┊ "function names" subsection
         18651 ┊    20.41% ┊ custom section '.debug_str'
          7351 ┊     8.04% ┊ custom section '.debug_info'
          6089 ┊     6.66% ┊ custom section '.debug_line'
          5163 ┊     5.65% ┊ custom section '.debug_pubnames'
          2928 ┊     3.20% ┊ performAction
          1904 ┊     2.08% ┊ custom section '.debug_ranges'
          1341 ┊     1.47% ┊ getPendingActionFullInfo
          1257 ┊     1.38% ┊ data[0]
          1060 ┊     1.16% ┊ core::fmt::Formatter::pad::h3bd0fc5a167a9f64
           997 ┊     1.09% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_action_data::h484c487a2fd7173d
           841 ┊     0.92% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::set_action_data::h44940027437da75a
           794 ┊     0.87% ┊ getActionData
           757 ┊     0.83% ┊ core::fmt::write::h31366f538f3fec14
           663 ┊     0.73% ┊ <core::fmt::builders::PadAdapter as core::fmt::Write>::write_str::h3cc0b72eb58117a1
           632 ┊     0.69% ┊ custom section '.debug_aranges'
           588 ┊     0.64% ┊ custom section '.debug_abbrev'
           508 ┊     0.56% ┊ init
           495 ┊     0.54% ┊ <core::alloc::layout::LayoutError as core::fmt::Debug>::fmt::h7ce59e49951ad9d5
           479 ┊     0.52% ┊ wee_alloc::alloc_first_fit::h393c888fcdb75149
           390 ┊     0.43% ┊ unsign
           381 ┊     0.42% ┊ core::str::slice_error_fail::h066f883c44a9450c
           343 ┊     0.38% ┊ updateUserAddress
           333 ┊     0.36% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_user_id_to_role::had3f8d98377738a0
           330 ┊     0.36% ┊ sign
           329 ┊     0.36% ┊ multisig::Multisig::change_user_role::he34a70ec47296532
           327 ┊     0.36% ┊ alloc::vec::Vec<T,A>::reserve::hf3b52a3c61ab6dce
           316 ┊     0.35% ┊ proposeSCDeploy
           303 ┊     0.33% ┊ alloc::vec::Vec<T,A>::push::h304217f7e72af34f
           287 ┊     0.31% ┊ <&mut W as core::fmt::Write>::write_char::h43fa53b422d6d867
           280 ┊     0.31% ┊ core::fmt::Write::write_char::haf2d7a4bc1688712
           280 ┊     0.31% ┊ multisig::Multisig::get_action_signers::hca7b1967223c8b10
           268 ┊     0.29% ┊ discardAction
           264 ┊     0.29% ┊ alloc::raw_vec::finish_grow::hbbfb4198e704607d
           262 ┊     0.29% ┊ proposeSendEgld
           255 ┊     0.28% ┊ multisig::Multisig::get_all_users_with_role::h24295c5a29dfa691
           251 ┊     0.27% ┊ alloc::vec::Vec<T,A>::reserve::h12be2ced0bd2e762
           242 ┊     0.26% ┊ proposeSCCall
           237 ┊     0.26% ┊ <alloc::vec::Vec<T> as elrond_codec::nested_de::NestedDecode>::dep_decode_or_exit::hc4c5e12e8b621063
           235 ┊     0.26% ┊ <multisig::MultisigImpl<T,BigInt,BigUint> as multisig::Multisig<T,BigInt,BigUint>>::get_action_signer_ids::h66132c8d6caf870e
           230 ┊     0.25% ┊ alloc::vec::Vec<T,A>::reserve::hcd73abe7dd00359b
           229 ┊     0.25% ┊ multisig::Multisig::propose_action::hb5712af0a255ab4b
           214 ┊     0.23% ┊ <wee_alloc::WeeAlloc as core::alloc::global::GlobalAlloc>::alloc::h9636adffdf3cadef
           213 ┊     0.23% ┊ <wee_alloc::WeeAlloc as core::alloc::global::GlobalAlloc>::dealloc::h62a2ce4a990799fa
           207 ┊     0.23% ┊ wee_alloc::WeeAlloc::dealloc_impl::{{closure}}::h3cc8f03d51d6f63a
